
 ▐▛███▜▌   Claude Code v2.1.37
▝▜█████▛▘  Opus 4.6 · Claude Pro
  ▘▘ ▝▝    /mnt/data_infra/workspace/monarch-gpu-mode

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ Plan: Monarch vs Ray — Comprehensive Technical Comparison Document           │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ The user wants a detailed technical comparison between PyTorch Monarch and   │
│ Ray, covering actors, control plane messaging, supervision, and data plane   │
│ (RDMA). The document should:                                                 │
│                                                                              │
│ - Use the marimo notebooks in notebooks/ as a pedagogical guide for          │
│ explaining each concept                                                      │
│ - Show side-by-side code examples for both Monarch and Ray for every concept │
│ - Include GitHub URL links to the actual implementations in both projects    │
│ - Cover robust distributed programming patterns for large-scale ML/AI        │
│ training                                                                     │
│                                                                              │
│ Output                                                                       │
│                                                                              │
│ Single file: docs/monarch-vs-ray-analysis.md (overwrite the existing shorter │
│  version)                                                                    │
│                                                                              │
│ GitHub URL Bases (pinned to current HEAD)                                    │
│                                                                              │
│ - Monarch: https://github.com/pytorch/monarch/blob/febefda69e1f9e9a696596b3d │
│ e368ac557320b21/                                                             │
│ - Ray: https://github.com/ray-project/ray/blob/25da7108abbec7606e8e0ce057e3a │
│ 5d22421850f/                                                                 │
│                                                                              │
│ Document Structure                                                           │
│                                                                              │
│ The document will have 8 sections, each covering one concept with Monarch    │
│ and Ray side by side. Every section follows the pattern:                     │
│                                                                              │
│ 1. Concept explanation (referencing notebooks for Monarch context)           │
│ 2. Monarch implementation with code example + source links                   │
│ 3. Ray implementation with code example + source links                       │
│ 4. Comparison table                                                          │
│                                                                              │
│ Section 1: Actor Abstraction                                                 │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/actor/actor_mesh.py:1569 — class Actor(MeshTrait)      │
│ - python/monarch/_src/actor/actor_mesh.py:1606 — class ActorMesh(Generic[T]) │
│ - python/monarch/_src/actor/endpoint.py:509 — @endpoint decorator            │
│ - Notebook ref: notebooks/01_history_and_vision.py (PingPong example)        │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/actor.py:1201 — class ActorClass(Generic[T])                    │
│ - python/ray/actor.py:1356 — ActorClass.remote()                             │
│ - python/ray/actor.py:1886 — class ActorHandle(Generic[T])                   │
│ - python/ray/actor.py:1511 — ActorClass._remote() (full creation path)       │
│                                                                              │
│ Section 2: Topology — Meshes vs Flat Handles                                 │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/actor/proc_mesh.py:234 — class ProcMesh                │
│ - python/monarch/_src/actor/host_mesh.py:145 — HostMesh.spawn_procs()        │
│ - python/monarch/_src/actor/host_mesh.py:48 — this_host()                    │
│ - hyperactor_mesh/src/proc_mesh.rs — Rust ProcMesh                           │
│ - hyperactor_mesh/src/actor_mesh.rs — Rust ActorMesh                         │
│ - hyperactor_mesh/src/comm/multicast.rs — tree-based broadcast               │
│ - Notebook ref: notebooks/04_distributed_tensors.py (mesh reshape, slicing)  │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/util/placement_group.py:42 — class PlacementGroup               │
│ - python/ray/util/placement_group.py:146 — placement_group() function        │
│ - src/ray/raylet/placement_group_resource_manager.h:49 — C++ resource        │
│ manager                                                                      │
│                                                                              │
│ Section 3: Control Plane Messaging                                           │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/actor/endpoint.py:241 — call_one()                     │
│ - python/monarch/_src/actor/endpoint.py:268 — call() (broadcast)             │
│ - python/monarch/_src/actor/endpoint.py:305 — stream()                       │
│ - python/monarch/_src/actor/endpoint.py:343 — broadcast() (fire-and-forget)  │
│ - python/monarch/_rust_bindings/monarch_hyperactor/mailbox.pyi — Port,       │
│ PortReceiver, Mailbox                                                        │
│ - hyperactor/src/mailbox.rs — Rust mailbox (3977 lines)                      │
│ - Notebook ref: notebooks/01_history_and_vision.py (Channels, Ports, message │
│  ordering)                                                                   │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/actor.py:802 — ActorMethod._remote()                            │
│ - python/ray/includes/object_ref.pxi:37 — ObjectRef (Cython)                 │
│ - python/ray/_private/worker.py:2858 — ray.get()                             │
│ - python/ray/_private/worker.py:3074 — ray.wait()                            │
│ - src/ray/core_worker/core_worker.h:167 — C++ CoreWorker                     │
│ - src/ray/gcs/gcs_server.h:98 — GCS server                                   │
│ - src/ray/raylet/node_manager.h:70 — Raylet NodeManager                      │
│ - src/ray/core_worker/actor_handle.h:34 — C++ ActorHandle (ownership)        │
│                                                                              │
│ Section 4: Message Ordering Guarantees                                       │
│                                                                              │
│ Monarch sources:                                                             │
│ - hyperactor/src/ordering.rs:25-50 — BufferState, OrderedSender (per-client  │
